,MemberKey,ListingNumber,LoanNumber,CreditPullDate,ListingStartDate,ListingEndDate,ListingCreationDate,LoanOriginationDate,ListingStatus,ListingStatusDescription,VerificationStage,ListingRequestAmount,ListingAmountFunded,AmountRemaining,PercentFunded,PartialFundingIndicator,FundingThreshold,ProsperRating,EstimatedReturn,EstimatedLossRate,LenderYield,EffectiveYield,BorrowerRate,BorrowerAPR,ListingTerm,ListingMonthlyPayment,ScoreX,ScoreXChange,FICOScore,ProsperScore,ListingCategory,IncomeRange,IncomeRangeDescription,StatedMonthlyIncome,IncomeVerifiable,DTIwProsperLoan,EmploymentStatusDescription,Occupation,MonthsEmployed,BorrowerState,BorrowerCity,BorrowerMetropolitanArea,PriorProsperLoansActive,PriorProsperLoans,PriorProsperLoansPrincipalBorrowed,PriorProsperLoansPrincipalOutstanding,PriorProsperLoansBalanceOutstanding,PriorProsperLoansCyclesBilled,PriorProsperLoansOnTimePayments,PriorProsperLoansLateCycles,PriorProsperLoansLatePaymentsOneMonthPlus,MaxPriorProsperLoan,MinPriorProsperLoan,PriorProsperLoanEarliestPayOff,PriorProsperLoans31DPD,PriorProsperLoans61DPD,LenderIndicator,GroupIndicator,GroupName,ChannelCode,AmountParticipation,ALL001,ALL002,ALL003,ALL005,ALL006,ALL007,ALL010,ALL021,ALL022,ALL023,ALL024,ALL026,ALL051,ALL052,ALL062,ALL064,ALL067,ALL071,ALL081,ALL082,ALL090,ALL101,ALL102,ALL106,ALL108,ALL118,ALL124,ALL126,ALL127,ALL130,ALL134,ALL136,ALL141,ALL142,ALL144,ALL145,ALL146,ALL151,ALL155,ALL156,ALL201,ALL202,ALL207,ALL208,ALL301,ALL403,ALL501,ALL502,ALL503,ALL504,ALL505,ALL524,ALL601,ALL701,ALL702,ALL703,ALL720,ALL740,ALL780,ALL790,ALL801,ALL803,ALL804,ALL805,ALL806,ALL807,ALL901,ALL903,ALL904,ALL905,ALL906,BAC001,BAC002,BAC005,BAC007,BAC022,BAC026,BAC028,BAC031,BAC035,BAC042,BAC044,BAC045,BAC071,BAC081,BAC084,BAC159,BAC302,BAC303,BAC401,BAC403,BAC501,BAC502,BAC503,BAC550,BAC584,BAC589,BAC601,BAC751,BAC752,BAC804,BAC901,BAC908,BNK026,BRR026,FIL022,FIN601,HEQ001,ILN002,ILN007,ILN022,ILN023,ILN071,ILN075,ILN081,ILN101,ILN102,ILN112,ILN126,ILN127,ILN201,ILN301,ILN403,ILN502,ILN503,ILN601,ILN701,ILN702,ILN804,ILN901,ILN903,ILN908,ILN914,REF001,REP001,REP002,REP026,REP075,REP302,REP503,REP601,REP904,REP908,REV001,REV002,REV006,REV007,REV022,REV024,REV026,REV028,REV038,REV071,REV081,REV086,REV101,REV102,REV106,REV115,REV125,REV126,REV130,REV159,REV201,REV202,REV301,REV302,REV401,REV403,REV502,REV503,REV524,REV550,REV584,REV585,REV589,REV590,REV601,REV701,REV702,REV703,REV720,REV740,REV751,REV752,REV901,REV904,REV908,RTL001,RTL002,RTR001,RTR002,RTR005,RTR026,RTR159,RTR303,RTR401,RTR403,RTR501,RTR903,ALE001,ALE002,ALE005,ALE007,ALE022,ALE023,ALE026,ALE071,ALE074,ALE075,ALE076,ALE077,ALE078,ALE080,ALE081,ALE084,ALE403,ALE501,ALE502,ALE503,ALE601,ALE720,ALE724,ALE740,ALE801,ALE804,ALE901,ALE903,ALE904,ALE905,ALE906,ALE908,ALL074,ALL075,ALL076,ALL077,ALL078,ALL080,ALL084,ALL085,ALL086,ALL091,ALL092,ALL103,ALL104,ALL105,ALL107,ALL109,ALL110,ALL111,ALL112,ALL113,ALL114,ALL115,ALL116,ALL117,ALL119,ALL121,ALL122,ALL123,ALL125,ALL128,ALL129,ALL131,ALL143,ALL152,ALL153,ALL602,ALL724,ALL760,ALL907,AUT001,AUT071,AUT720,BAC023,BAC037,BAC074,BAC075,BAC076,BAC077,BAC078,BAC080,BAC801,BAC903,BAC904,BAC905,BAC906,BNK001,CAP026,CAP801,CRU001,FIL001,FIL023,FIN001,FIN026,FIN801,GBL007,ILN001,ILN005,ILN006,ILN026,ILN064,ILN067,ILN074,ILN076,ILN077,ILN078,ILN080,ILN084,ILN085,ILN086,ILN103,ILN104,ILN105,ILN106,ILN107,ILN108,ILN109,ILN110,ILN111,ILN113,ILN114,ILN115,ILN116,ILN117,ILN118,ILN119,ILN122,ILN124,ILN125,ILN128,ILN129,ILN130,ILN302,ILN501,ILN504,ILN703,ILN720,ILN724,ILN740,ILN801,ILN904,ILN905,ILN906,LFI801,REP005,REP071,REP074,REP076,REP077,REP078,REP080,REP081,REP084,REP501,REP901,REP903,REP905,REP906,REV005,REV023,REV044,REV064,REV067,REV074,REV075,REV076,REV077,REV078,REV080,REV084,REV085,REV103,REV104,REV105,REV107,REV108,REV109,REV110,REV111,REV112,REV113,REV114,REV116,REV117,REV118,REV119,REV122,REV124,REV127,REV128,REV129,REV404,REV501,REV504,REV724,REV903,REV905,REV906,RTI026,RTL005,RTL026,RTL071,RTL074,RTL075,RTL076,RTL077,RTL078,RTL080,RTL081,RTL084,RTL501,RTL502,RTL503,RTL901,RTL903,RTL904,RTL905,RTL906,RTL908,RTR007,RTR022,RTR023,RTR028,RTR031,RTR035,RTR044,RTR071,RTR074,RTR075,RTR076,RTR077,RTR078,RTR080,RTR081,RTR084,RTR584,RTR585,RTR589,RTR590,RTR601,RTR751,RTR752,RTR901,RTR904,RTR905,RTR906,RTR908,MonthlyDebt,CurrentDelinquencies,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,FirstRecordedCreditLine,CreditLinesLast7Years,InquiriesLast6Months,AmountDelinquent,CurrentCreditLines,OpenCreditLines,BankcardUtilization,TotalOpenRevolvingAccounts,InstallmentBalance,RealEstateBalance,RevolvingBalance,RealEstatePayment,RevolvingAvailablePercent,TotalInquiries,TotalTradeItems,SatisfactoryAccounts,NowDelinquentDerog,WasDelinquentDerog,OldestTradeOpenDate,DelinquenciesOver30Days,DelinquenciesOver60Days,DelinquenciesOver90Days,IsHomeowner,InvestmentTypeID,InvestmentTypeDescription,WholeLoanStartDate,WholeLoanEndDate,LastUpdatedDate
0,94693366186888610FB5A63,9932,,31:11.0,39:46.3,50:08.9,39:46.3,,4,Withdrawn,,1000,0,1000,0,FALSE,1,,,,0.1525,-0.2275,0.1575,,36,35.03,< 600,, < 600,,0,0,Not displayed,2500,TRUE,0.14281,,,,NY,Albany,(Not Implemented),0,0,,,,,,,,,,,,,0,FALSE,,40000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,0,3,0,,10/23/98 0:00,10,6,,,,,,,,,,,,,,,,,,,,FALSE,1,Fractional,,,20:34.3
1,D22433660515130252C326C,9933,,41:41.5,48:01.0,48:17.2,48:01.0,,5,Expired,,4000,0,4000,0,FALSE,1,,,,0.16,-0.22,0.165,,36,146.62,< 600,, < 600,,0,0,Not displayed,4000,TRUE,0.28341,,,,GA,Winder,(Not Implemented),0,0,,,,,,,,,,,,,0,FALSE,Credit Card Consolidation,40000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987,2,0,1,,9/1/92 0:00,13,1,,,,,,,,,,,,,,,,,,,,TRUE,1,Fractional,,,20:34.3
2,94693366186888610FB5A63,9934,,50:34.1,59:18.2,15:45.6,59:18.2,,4,Withdrawn,,1000,0,1000,0,FALSE,1,,,,0.145,-0.235,0.15,,36,34.67,< 600,, < 600,,0,0,Not displayed,2500,TRUE,0.14267,,,,NY,Albany,(Not Implemented),0,0,,,,,,,,,,,,,0,FALSE,,40000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,0,3,0,,10/23/98 0:00,10,6,,,,,,,,,,,,,,,,,,,,FALSE,1,Fractional,,,20:34.3
3,2B533366301923333298603,10104,,31:50.3,53:31.5,55:14.8,53:31.5,,4,Withdrawn,,4500,0,4500,0,FALSE,1,,,,0.2325,-0.1475,0.2375,,36,175.96,< 600,, < 600,,0,0,Not displayed,6250,TRUE,0.02815,,,,MI,Romulus,(Not Implemented),0,0,,,,,,,,,,,,,0,FALSE,,40000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,7,1,,5/1/87 0:00,27,5,,,,,,,,,,,,,,,,,,,,TRUE,1,Fractional,,,20:34.3
4,BBEF3364689850533E507ED,29423,,23:31.3,8/6/06 18:37,07:21.2,8/6/06 18:37,,4,Withdrawn,,13200,100,13100,0.0075,FALSE,1,,,,0.285,-0.095,0.29,,36,553.16,< 600,, < 600,,0,0,Not displayed,4166.6667,TRUE,0.13,Not available,Food Service Management,,MO,Carl Junction,(Not Implemented),0,0,,,,,,,,,,,,,0,TRUE,PsychDoc's Group,40000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,12,0,,4/22/97 0:00,10,2,,,,,,,,,,,,,,,,,,,,FALSE,1,Fractional,,,20:34.3
5,E4D23365917644005CBA353,29424,,58:47.7,43:59.3,48:39.3,43:59.3,,5,Expired,,7000,0,7000,0,FALSE,1,,,,0.045,-0.335,0.05,,36,209.8,< 600,, < 600,,0,0,Not displayed,1416.6667,TRUE,0.17,Not available,Administrative Assistant,,PA,Sayre,(Not Implemented),0,0,,,,,,,,,,,,,0,FALSE,,40000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4,20,1,,7/31/91 0:00,13,5,,,,,,,,,,,,,,,,,,,,FALSE,1,Fractional,,,20:34.3
6,49683365882722702A1A666,29425,,33:47.2,59:12.7,23:38.9,59:12.7,,4,Withdrawn,,5000,0,5000,0,FALSE,1,,,,0.165,-0.215,0.17,,36,178.26,< 600,, < 600,,0,0,Not displayed,2666.6667,TRUE,0.18,Not available,Other,,FL,St. Petersburg,(Not Implemented),0,0,,,,,,,,,,,,,0,FALSE,,40000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,6,25,2,,9/16/93 0:00,11,2,,,,,,,,,,,,,,,,,,,,FALSE,1,Fractional,,,20:34.3
7,C832336632867814345C989,29427,,46:35.1,08:15.4,08:39.6,08:15.4,,5,Expired,,3000,350,2650,0.1166,FALSE,1,,,,0.285,-0.095,0.29,,36,125.72,< 600,, < 600,,0,0,Not displayed,4916.6667,TRUE,0.04,,,,,,(Not Implemented),0,0,,,,,,,,,,,,,0,TRUE,PsychDoc's Group,40000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,5,11,2,,3/22/95 0:00,11,2,,,,,,,,,,,,,,,,,,,,FALSE,1,Fractional,,,20:34.3
8,78953365367332048E79415,29428,,07:57.0,20:22.6,24:03.4,20:22.6,,5,Expired,,3000,0,3000,0,FALSE,1,,,,0.285,-0.095,0.29,,36,125.72,< 600,, < 600,,0,0,Not displayed,3500,TRUE,0.2,Not available,Professional,,IL,Champaign,(Not Implemented),0,0,,,,,,,,,,,,,0,FALSE,,40000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,18,9,0,,5/26/00 0:00,19,2,,,,,,,,,,,,,,,,,,,,FALSE,1,Fractional,,,20:34.3
9,8B29336710545388702C3FD,36991,,48:00.8,56:39.7,03:14.1,56:39.5,,4,Withdrawn,,4000,0,4000,0,FALSE,1,,,,0.22,-0.16,0.225,,36,159.04,< 600,, < 600,,0,0,Not displayed,233.3333,TRUE,2.51,Not available,Other,,CA,SACRAMENTO,(Not Implemented),0,0,,,,,,,,,,,,,0,TRUE,HARD MONEY LOANS,40000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,7,20,2,,6/8/94 0:00,18,19,,,,,,,,,,,,,,,,,,,,FALSE,1,Fractional,,,20:34.3
